,airports,cities,countries,airports - cities
2678,Akhisar Airport,,TR,Akhisar Airport - nan
2679,Tekirdağ Çorlu Airport,Çorlu,TR,Tekirdağ Çorlu Airport - Çorlu
2680,İstanbul Samandıra Army Air Base,"Ümraniye, Istanbul",TR,"İstanbul Samandıra Army Air Base - Ümraniye, Istanbul"
2681,Anadolu Airport,Eskişehir,TR,Anadolu Airport - Eskişehir
2682,Elazığ Airport,Elazığ,TR,Elazığ Airport - Elazığ
2683,Ordu–Giresun Airport,Ordu,TR,Ordu–Giresun Airport - Ordu
2684,Diyarbakır Airport,Diyarbakır,TR,Diyarbakır Airport - Diyarbakır
2685,Erzincan Airport,Erzincan,TR,Erzincan Airport - Erzincan
2686,Erzurum International Airport,Erzurum,TR,Erzurum International Airport - Erzurum
2687,Kars Airport,Kars,TR,Kars Airport - Kars
2688,Trabzon International Airport,Trabzon,TR,Trabzon International Airport - Trabzon
2689,Şanlıurfa Airport,Şanlıurfa,TR,Şanlıurfa Airport - Şanlıurfa
2690,Van Ferit Melen Airport,Van,TR,Van Ferit Melen Airport - Van
2691,Batman Airport,Batman,TR,Batman Airport - Batman
2692,Muş Airport,Muş,TR,Muş Airport - Muş
2693,Siirt Airport,Siirt,TR,Siirt Airport - Siirt
2694,Sinop Airport,Sinop,TR,Sinop Airport - Sinop
2695,Kahramanmaraş Airport,Kahramanmaraş,TR,Kahramanmaraş Airport - Kahramanmaraş
2696,Ağrı Airport,Ağrı,TR,Ağrı Airport - Ağrı
2697,Adıyaman Airport,Adıyaman,TR,Adıyaman Airport - Adıyaman
2698,Mardin Airport,Mardin,TR,Mardin Airport - Mardin
2699,Şanlıurfa GAP Airport,Şanlıurfa,TR,Şanlıurfa GAP Airport - Şanlıurfa
2700,Iğdır Airport,Iğdır,TR,Iğdır Airport - Iğdır
2701,Şırnak Şerafettin Elçi Airport,Şırnak,TR,Şırnak Şerafettin Elçi Airport - Şırnak
2702,Hakkari Yüksekova Airport,Hakkari,TR,Hakkari Yüksekova Airport - Hakkari
2703,Hatay Airport,Antakya,TR,Hatay Airport - Antakya
2704,Süleyman Demirel International Airport,Isparta,TR,Süleyman Demirel International Airport - Isparta
2705,Balıkesir Koca Seyit Airport,Edremit,TR,Balıkesir Koca Seyit Airport - Edremit
2706,Milas Bodrum International Airport,Bodrum,TR,Milas Bodrum International Airport - Bodrum
2707,Gazipaşa-Alanya Airport,Gazipaşa,TR,Gazipaşa-Alanya Airport - Gazipaşa
2708,Samsun-Çarşamba Airport,Samsun,TR,Samsun-Çarşamba Airport - Samsun
2709,Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",TR,"Istanbul Sabiha Gökçen International Airport - Pendik, Istanbul"
2710,İstanbul Airport,"Arnavutköy, Istanbul",TR,"İstanbul Airport - Arnavutköy, Istanbul"
2711,Bălți International Airport,Bălți,MD,Bălți International Airport - Bălți
2712,Mărculeşti International Airport,Mărculeşti,MD,Mărculeşti International Airport - Mărculeşti
2713,Cahul International Airport,Cahul,MD,Cahul International Airport - Cahul
2714,Chişinău International Airport,Chişinău,MD,Chişinău International Airport - Chişinău
2715,Tiraspol Airport,Tiraspol,MD,Tiraspol Airport - Tiraspol
2716,Lublin Airport,Lublin,PL,Lublin Airport - Lublin
2717,Ohrid St. Paul the Apostle Airport,Ohrid,MK,Ohrid St. Paul the Apostle Airport - Ohrid
2718,Skopje International Airport,Skopje,MK,Skopje International Airport - Skopje
2719,Gibraltar Airport,Gibraltar,GI,Gibraltar Airport - Gibraltar
2720,Brak Airport,Brak,LY,Brak Airport - Brak
2721,Belgrade Nikola Tesla Airport,Belgrade,RS,Belgrade Nikola Tesla Airport - Belgrade
2722,Batajnica Air Base,Batajnica,RS,Batajnica Air Base - Batajnica
2723,Morava Airport,Kraljevo,RS,Morava Airport - Kraljevo
2724,Nis Airport,Nis,RS,Nis Airport - Nis
2725,Podgorica Airport / Podgorica Golubovci Airbase,Podgorica,ME,Podgorica Airport / Podgorica Golubovci Airbase - Podgorica
2726,Tivat Airport,Tivat,ME,Tivat Airport - Tivat
2727,M. R. Štefánik Airport,Bratislava,SK,M. R. Štefánik Airport - Bratislava
2728,Košice Airport,Košice,SK,Košice Airport - Košice
2729,Kuchyňa Air Base,Malacky,SK,Kuchyňa Air Base - Malacky
2730,Piešťany Airport,Piešťany,SK,Piešťany Airport - Piešťany
2731,Sliač Airport,Sliač,SK,Sliač Airport - Sliač
2732,Poprad-Tatry Airport,Poprad,SK,Poprad-Tatry Airport - Poprad
2733,Žilina Airport,Žilina,SK,Žilina Airport - Žilina
2734,JAGS McCartney International Airport,Cockburn Town,TC,JAGS McCartney International Airport - Cockburn Town
2735,North Caicos Airport,North Caicos,TC,North Caicos Airport - North Caicos
2736,Providenciales International Airport,Providenciales,TC,Providenciales International Airport - Providenciales
2737,South Caicos Airport,South Caicos,TC,South Caicos Airport - South Caicos
2738,Maria Montez International Airport,Barahona,DO,Maria Montez International Airport - Barahona
2739,Cabo Rojo Airport,Cabo Rojo,DO,Cabo Rojo Airport - Cabo Rojo
2740,Samaná El Catey International Airport,Samana,DO,Samaná El Catey International Airport - Samana
2741,La Isabela International Airport,La Isabela,DO,La Isabela International Airport - La Isabela
2742,Casa De Campo International Airport,La Romana,DO,Casa De Campo International Airport - La Romana
2743,Punta Cana International Airport,Punta Cana,DO,Punta Cana International Airport - Punta Cana
2744,Gregorio Luperon International Airport,Puerto Plata,DO,Gregorio Luperon International Airport - Puerto Plata
2745,Las Américas International Airport,Santo Domingo,DO,Las Américas International Airport - Santo Domingo
2746,San Isidro Air Base,San Isidro,DO,San Isidro Air Base - San Isidro
2747,Cibao International Airport,Santiago,DO,Cibao International Airport - Santiago
2748,Coban Airport,Coban,GT,Coban Airport - Coban
2749,La Aurora Airport,Guatemala City,GT,La Aurora Airport - Guatemala City
2750,Puerto Barrios Airport,Puerto Barrios,GT,Puerto Barrios Airport - Puerto Barrios
2751,Rubelsanto Airport,Rubelsanto,GT,Rubelsanto Airport - Rubelsanto
2752,Retalhuleu Airport,Retalhuleu,GT,Retalhuleu Airport - Retalhuleu
2753,San José Airport,Puerto San José,GT,San José Airport - Puerto San José
2754,Mundo Maya International Airport,San Benito,GT,Mundo Maya International Airport - San Benito
2755,Goloson International Airport,La Ceiba,HN,Goloson International Airport - La Ceiba
2756,Ramón Villeda Morales International Airport,San Pedro Sula,HN,Ramón Villeda Morales International Airport - San Pedro Sula
2757,La Laguna Airport,Guanaja,HN,La Laguna Airport - Guanaja
2758,Juan Manuel Gálvez International Airport,Roatán,HN,Juan Manuel Gálvez International Airport - Roatán
2759,Palmerola International Airport,Tegucigalpa,HN,Palmerola International Airport - Tegucigalpa
2760,Tela Airport,Tela,HN,Tela Airport - Tela
2761,Toncontín International Airport,Tegucigalpa,HN,Toncontín International Airport - Tegucigalpa
2762,Trujillo Airport,Trujillo,HN,Trujillo Airport - Trujillo
2763,Ian Fleming International Airport,Boscobel,JM,Ian Fleming International Airport - Boscobel
2764,Norman Manley International Airport,Kingston,JM,Norman Manley International Airport - Kingston
2765,Sangster International Airport,Montego Bay,JM,Sangster International Airport - Montego Bay
2766,Ken Jones Airport,Ken Jones,JM,Ken Jones Airport - Ken Jones
2767,Tinson Pen Airport,Tinson Pen,JM,Tinson Pen Airport - Tinson Pen
2768,General Juan N Alvarez International Airport,Acapulco,MX,General Juan N Alvarez International Airport - Acapulco
2769,Del Norte International Airport,Monterrey,MX,Del Norte International Airport - Monterrey
2770,Governor Jesús Terán Peredo International Airport,Aguascalientes,MX,Governor Jesús Terán Peredo International Airport - Aguascalientes
2771,Bahías de Huatulco International Airport,Huatulco,MX,Bahías de Huatulco International Airport - Huatulco
2772,Cuernavaca - General Mariano Matamoros Airport,Temixco,MX,Cuernavaca - General Mariano Matamoros Airport - Temixco
2773,Ciudad del Carmen International Airport,Ciudad del Carmen,MX,Ciudad del Carmen International Airport - Ciudad del Carmen
2774,Bachigualato Federal International Airport,Culiacán,MX,Bachigualato Federal International Airport - Culiacán
2775,Chetumal International Airport,Chetumal,MX,Chetumal International Airport - Chetumal
2776,Ciudad Obregón International Airport,Ciudad Obregón,MX,Ciudad Obregón International Airport - Ciudad Obregón
2777,Ingeniero Alberto Acuña Ongay International Airport,Campeche,MX,Ingeniero Alberto Acuña Ongay International Airport - Campeche
2778,Abraham González International Airport,Ciudad Juárez,MX,Abraham González International Airport - Ciudad Juárez
2779,Chichen Itza International Airport,Chichen Itza,MX,Chichen Itza International Airport - Chichen Itza
2780,General Roberto Fierro Villalobos International Airport,Chihuahua,MX,General Roberto Fierro Villalobos International Airport - Chihuahua
2781,General Pedro Jose Mendez International Airport,Ciudad Victoria,MX,General Pedro Jose Mendez International Airport - Ciudad Victoria
2782,Captain Rogelio Castillo National Airport,Celaya,MX,Captain Rogelio Castillo National Airport - Celaya
2783,Cozumel International Airport,Cozumel,MX,Cozumel International Airport - Cozumel
2784,Ciudad Constitución National Airport,Comondú,MX,Ciudad Constitución National Airport - Comondú
2785,General Guadalupe Victoria International Airport,Durango,MX,General Guadalupe Victoria International Airport - Durango
2786,Amado Nervo National Airport,Tepic,MX,Amado Nervo National Airport - Tepic
2787,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,MX,Don Miguel Hidalgo Y Costilla International Airport - Guadalajara
2788,General José María Yáñez International Airport,Guaymas,MX,General José María Yáñez International Airport - Guaymas
2789,General Ignacio P. Garcia International Airport,Hermosillo,MX,General Ignacio P. Garcia International Airport - Hermosillo
2790,Licenciado Miguel de la Madrid Airport,Colima,MX,Licenciado Miguel de la Madrid Airport - Colima
2791,Plan De Guadalupe International Airport,Saltillo,MX,Plan De Guadalupe International Airport - Saltillo
2792,Ixtepec Airport,Ixtepec,MX,Ixtepec Airport - Ixtepec
2793,El Lencero Airport,Xalapa,MX,El Lencero Airport - Xalapa
2794,Lázaro Cárdenas Airport,Lázaro Cárdenas,MX,Lázaro Cárdenas Airport - Lázaro Cárdenas
2795,Valle del Fuerte International Airport,Los Mochis,MX,Valle del Fuerte International Airport - Los Mochis
2796,Del Bajío International Airport,Silao,MX,Del Bajío International Airport - Silao
2797,Manuel Márquez de León International Airport,La Paz,MX,Manuel Márquez de León International Airport - La Paz
2798,Loreto International Airport,Loreto,MX,Loreto International Airport - Loreto
2799,General Servando Canales International Airport,Matamoros,MX,General Servando Canales International Airport - Matamoros
2800,Licenciado Manuel Crescencio Rejon Int Airport,Mérida,MX,Licenciado Manuel Crescencio Rejon Int Airport - Mérida
2801,General Rodolfo Sánchez Taboada International Airport,Mexicali,MX,General Rodolfo Sánchez Taboada International Airport - Mexicali
2802,General Francisco J. Mujica International Airport,Morelia,MX,General Francisco J. Mujica International Airport - Morelia
2803,Minatitlán/Coatzacoalcos National Airport,Minatitlán,MX,Minatitlán/Coatzacoalcos National Airport - Minatitlán
2804,Monclova International Airport,,MX,Monclova International Airport - nan
2805,Licenciado Benito Juarez International Airport,Mexico City,MX,Licenciado Benito Juarez International Airport - Mexico City
2806,General Mariano Escobedo International Airport,Monterrey,MX,General Mariano Escobedo International Airport - Monterrey
2807,General Rafael Buelna International Airport,Mazatlán,MX,General Rafael Buelna International Airport - Mazatlán
2808,Quetzalcóatl International Airport,Nuevo Laredo,MX,Quetzalcóatl International Airport - Nuevo Laredo
2809,Xoxocotlán International Airport,Oaxaca,MX,Xoxocotlán International Airport - Oaxaca
2810,El Tajín National Airport,Poza Rica,MX,El Tajín National Airport - Poza Rica
2811,Hermanos Serdán International Airport,Puebla,MX,Hermanos Serdán International Airport - Puebla
2812,Piedras Negras International Airport,,MX,Piedras Negras International Airport - nan
2813,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,Uruapan,MX,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport - Uruapan
2814,President Gustavo Díaz Ordaz International Airport,Puerto Vallarta,MX,President Gustavo Díaz Ordaz International Airport - Puerto Vallarta
2815,Puerto Escondido International Airport,Puerto Escondido,MX,Puerto Escondido International Airport - Puerto Escondido
2816,Querétaro Intercontinental Airport,Querétaro,MX,Querétaro Intercontinental Airport - Querétaro
2817,General Lucio Blanco International Airport,Reynosa,MX,General Lucio Blanco International Airport - Reynosa
2818,Los Cabos International Airport,San José del Cabo,MX,Los Cabos International Airport - San José del Cabo
2819,Cabo San Lucas International Airport,Cabo San Lucas,MX,Cabo San Lucas International Airport - Cabo San Lucas
2820,Santa Lucía Air Force Base / General Felipe Ángeles International Airport,Mexico City (Santa Lucía),MX,Santa Lucía Air Force Base / General Felipe Ángeles International Airport - Mexico City (Santa Lucía)
2821,Ponciano Arriaga International Airport,San Luis Potosí,MX,Ponciano Arriaga International Airport - San Luis Potosí
2822,Terán Air Base,Tuxtla Gutiérrez,MX,Terán Air Base - Tuxtla Gutiérrez
2823,Francisco Sarabia Tinoco International Airport,Torreón,MX,Francisco Sarabia Tinoco International Airport - Torreón
2824,Angel Albino Corzo International Airport,Tuxtla Gutiérrez,MX,Angel Albino Corzo International Airport - Tuxtla Gutiérrez
2825,General Abelardo L. Rodríguez International Airport,Tijuana,MX,General Abelardo L. Rodríguez International Airport - Tijuana
2826,General Francisco Javier Mina International Airport,Tampico,MX,General Francisco Javier Mina International Airport - Tampico
2827,President Adolfo López Mateos International Airport,Toluca,MX,President Adolfo López Mateos International Airport - Toluca
2828,Tapachula International Airport,Tapachula,MX,Tapachula International Airport - Tapachula
2829,Cancún International Airport,Cancún,MX,Cancún International Airport - Cancún
2830,Carlos Rovirosa Pérez International Airport,Villahermosa,MX,Carlos Rovirosa Pérez International Airport - Villahermosa
2831,General Heriberto Jara International Airport,Veracruz,MX,General Heriberto Jara International Airport - Veracruz
2832,General Leobardo C. Ruiz International Airport,Zacatecas,MX,General Leobardo C. Ruiz International Airport - Zacatecas
2833,Ixtapa Zihuatanejo International Airport,Ixtapa,MX,Ixtapa Zihuatanejo International Airport - Ixtapa
2834,Playa De Oro International Airport,Manzanillo,MX,Playa De Oro International Airport - Manzanillo
2835,Bluefields Airport,Bluefileds,NI,Bluefields Airport - Bluefileds
2836,Augusto C. Sandino (Managua) International Airport,Managua,NI,Augusto C. Sandino (Managua) International Airport - Managua
2837,Puerto Cabezas Airport,Puerto Cabezas,NI,Puerto Cabezas Airport - Puerto Cabezas
2838,Bocas del Toro International Airport,Isla Colón,PA,Bocas del Toro International Airport - Isla Colón
2839,Alonso Valderrama Airport,Chitré,PA,Alonso Valderrama Airport - Chitré
2840,Cap Manuel Niño International Airport,Changuinola,PA,Cap Manuel Niño International Airport - Changuinola
2841,Enrique Malek International Airport,David,PA,Enrique Malek International Airport - David
2842,Enrique Adolfo Jimenez Airport,Colón,PA,Enrique Adolfo Jimenez Airport - Colón
2843,Marcos A. Gelabert International Airport,Albrook,PA,Marcos A. Gelabert International Airport - Albrook
2844,Ruben Cantu Airport,Santiago,PA,Ruben Cantu Airport - Santiago
2845,Tocumen International Airport,Tocumen,PA,Tocumen International Airport - Tocumen
2846,Aerotortuguero Airport,Roxana,CR,Aerotortuguero Airport - Roxana
2847,Buenos Aires Airport,Punta Arenas,CR,Buenos Aires Airport - Punta Arenas
2848,Barra del Colorado Airport,Pococi,CR,Barra del Colorado Airport - Pococi
2849,Coto 47 Airport,Corredores,CR,Coto 47 Airport - Corredores
2850,Golfito Airport,Golfito,CR,Golfito Airport - Golfito
2851,Guapiles Airport,Pococi,CR,Guapiles Airport - Pococi
2852,Guanacaste Airport,Liberia,CR,Guanacaste Airport - Liberia
2853,Los Chiles Airport,Los Chiles,CR,Los Chiles Airport - Los Chiles
2854,Limon International Airport,Puerto Limon,CR,Limon International Airport - Puerto Limon
2855,Nosara Airport,Nicoya,CR,Nosara Airport - Nicoya
2856,Juan Santamaría International Airport,San José (Alajuela),CR,Juan Santamaría International Airport - San José (Alajuela)
2857,Puerto Jimenez Airport,Puerto Jimenez,CR,Puerto Jimenez Airport - Puerto Jimenez
2858,Palmar Sur Airport,Palmar Sur,CR,Palmar Sur Airport - Palmar Sur
2859,Tobías Bolaños International Airport,San Jose,CR,Tobías Bolaños International Airport - San Jose
2860,Quepos Managua Airport,Quepos,CR,Quepos Managua Airport - Quepos
2861,San Vito De Java Airport,Coto Brus,CR,San Vito De Java Airport - Coto Brus
2862,Upala Airport,Upala,CR,Upala Airport - Upala
2863,Monseñor Óscar Arnulfo Romero International Airport,San Salvador (San Luis Talpa),SV,Monseñor Óscar Arnulfo Romero International Airport - San Salvador (San Luis Talpa)
2864,Ilopango International Airport,San Salvador,SV,Ilopango International Airport - San Salvador
2865,Les Cayes Airport,Les Cayes,HT,Les Cayes Airport - Les Cayes
2866,Cap Haitien International Airport,Cap Haitien,HT,Cap Haitien International Airport - Cap Haitien
2867,Jacmel Airport,Jacmel,HT,Jacmel Airport - Jacmel
2868,Jérémie Airport,Jeremie,HT,Jérémie Airport - Jeremie
2869,Toussaint Louverture International Airport,Port-au-Prince,HT,Toussaint Louverture International Airport - Port-au-Prince
2870,Port-de-Paix Airport,Port-de-Paix,HT,Port-de-Paix Airport - Port-de-Paix
2871,Gustavo Rizo Airport,Baracoa,CU,Gustavo Rizo Airport - Baracoa
2872,Carlos Manuel de Cespedes Airport,Bayamo,CU,Carlos Manuel de Cespedes Airport - Bayamo
2873,Maximo Gomez Airport,Ciego de Avila,CU,Maximo Gomez Airport - Ciego de Avila
2874,Jardines Del Rey Airport,Cayo Coco,CU,Jardines Del Rey Airport - Cayo Coco
2875,Jaime Gonzalez Airport,Cienfuegos,CU,Jaime Gonzalez Airport - Cienfuegos
2876,Vilo Acuña International Airport,Cayo Largo del Sur,CU,Vilo Acuña International Airport - Cayo Largo del Sur
2877,Ignacio Agramonte International Airport,Camaguey,CU,Ignacio Agramonte International Airport - Camaguey
2878,Antonio Maceo International Airport,Santiago,CU,Antonio Maceo International Airport - Santiago
2879,Leeward Point Field,Guantanamo Bay Naval Station,CU,Leeward Point Field - Guantanamo Bay Naval Station
2880,Mariana Grajales Airport,Guantánamo,CU,Mariana Grajales Airport - Guantánamo
2881,José Martí International Airport,Havana,CU,José Martí International Airport - Havana
2882,Frank Pais International Airport,Holguin,CU,Frank Pais International Airport - Holguin
2883,Kawama Airport,Varadero,CU,Kawama Airport - Varadero
2884,La Coloma Airport,Pinar del Rio,CU,La Coloma Airport - Pinar del Rio
2885,Orestes Acosta Airport,Moa,CU,Orestes Acosta Airport - Moa
2886,Sierra Maestra Airport,Manzanillo,CU,Sierra Maestra Airport - Manzanillo
2887,San Nicolas De Bari Airport,San Nicolás,CU,San Nicolas De Bari Airport - San Nicolás
2888,Rafael Cabrera Airport,Nueva Gerona,CU,Rafael Cabrera Airport - Nueva Gerona
2889,Playa Baracoa Airport,Havana,CU,Playa Baracoa Airport - Havana
2890,Abel Santamaria Airport,Santa Clara,CU,Abel Santamaria Airport - Santa Clara
2891,San Julian Air Base,Pinar Del Rio,CU,San Julian Air Base - Pinar Del Rio
2892,Siguanea Airport,Isla de la Juventud,CU,Siguanea Airport - Isla de la Juventud
2893,Alberto Delgado Airport,Trinidad,CU,Alberto Delgado Airport - Trinidad
