,airports,cities,countries,airports - cities
2668,İstanbul Atatürk Airport,"Bakırköy, Istanbul",TR,"İstanbul Atatürk Airport - Bakırköy, Istanbul"
2669,Balıkesir Merkez Airport,,TR,Balıkesir Merkez Airport - nan
2670,Bandırma Airport,Bandırma,TR,Bandırma Airport - Bandırma
2671,Çanakkale Airport,Çanakkale,TR,Çanakkale Airport - Çanakkale
2672,Eskişehir Air Base,,TR,Eskişehir Air Base - nan
2673,Adnan Menderes International Airport,İzmir,TR,Adnan Menderes International Airport - İzmir
2674,Çiğli Airport,Kaklıç Mahallesi,TR,Çiğli Airport - Kaklıç Mahallesi
2675,Cengiz Topel Airport,Kartepe,TR,Cengiz Topel Airport - Kartepe
2676,Bursa Yenişehir Airport,Bursa,TR,Bursa Yenişehir Airport - Bursa
2677,Dalaman International Airport,Dalaman,TR,Dalaman International Airport - Dalaman
